,Positive Score,Negative Score,Player,Pos,Squad,Season,Comp,PlayerScore
89,-24.7781119946223,5.561315206509256,Selim Amallah,"FW,MF",Valencia,2023,La Liga,-30.339427201131556
90,-30.68310373896563,-2.2208561359109216,Amath,"FW,MF",Mallorca,2023,La Liga,-28.46224760305471
91,-40.53654688372319,-10.405965637617923,Lorenzo Amatucci,MF,Fiorentina,2023,Serie A,-30.130581246105265
92,7.051546884923696,6.174265819190158,Zeki Amdouni,FW,Burnley,2023,Premier League,0.8772810657335386
93,-32.22554137944715,-6.374802999128006,Kelvin Amian,DF,Nantes,2023,Ligue 1,-25.850738380319143
94,-28.181190226996243,-3.355610256462575,Bruno Amione,DF,Hellas Verona,2023,Serie A,-24.825579970533667
95,-13.091907552046003,-5.5337180754624855,Michael Amir Murillo,DF,Marseille,2023,Ligue 1,-7.558189476583517
96,-0.5819557345448132,-3.269931308200909,Nadiem Amiri,MF,Mainz 05,2023,Bundesliga,2.6879755736560957
97,-32.12649808064143,-7.079043377125219,Nadiem Amiri,MF,Leverkusen,2023,Bundesliga,-25.047454703516216
98,-16.59767304016819,-2.7540888919426814,Sofyan Amrabat,"MF,DF",Manchester Utd,2023,Premier League,-13.843584148225508
99,53.55828055195523,-0.3205434398792325,Joachim Andersen,DF,Crystal Palace,2023,Premier League,53.87882399183446
100,-19.918704660389025,-4.60417206579032,Elliot Anderson,"MF,FW",Newcastle Utd,2023,Premier League,-15.314532594598706
101,51.90019221017665,8.123614602531292,Felipe Anderson,FW,Lazio,2023,Serie A,43.77657760764536
102,48.87225445166569,5.916103355809465,Benjamin André,MF,Lille,2023,Ligue 1,42.95615109585623
103,-40.74901859286281,-5.712964559516886,Komnen Andrić,FW,Clermont Foot,2023,Ligue 1,-35.03605403334593
104,10.39100263123551,-4.79037371167654,Robert Andrich,"MF,DF",Leverkusen,2023,Bundesliga,15.18137634291205
105,-10.346438690700724,-6.170490132969203,Miguel Ángel Rubio,DF,Granada,2023,La Liga,-4.175948557731521
106,-25.055600385147414,-1.5811123248041004,Angeliño,DF,Roma,2023,Serie A,-23.474488060343315
107,-43.27237319922142,-5.398264639663573,Fabrizio Angileri,"DF,MF",Getafe,2023,La Liga,-37.87410855955785
108,-40.93405550665221,-6.209631323179002,Jaidon Anthony,FW,Bournemouth,2023,Premier League,-34.724424183473204
109,54.216673351458645,4.377818259858821,Waldemar Anton,DF,Stuttgart,2023,Bundesliga,49.838855091599825
110,-12.654854259905193,4.160644280687632,Michail Antonio,FW,West Ham,2023,Premier League,-16.815498540592824
111,3.623397901942101,2.6218824144299466,Antony,FW,Manchester Utd,2023,Premier League,1.0015154875121546
112,-7.790894910168576,5.21507250174864,Christopher Antwi-Adjei,"FW,MF",Bochum,2023,Bundesliga,-13.005967411917215
113,-14.454671624833155,-2.101065063875551,Houssem Aouar,"MF,FW",Roma,2023,Serie A,-12.353606560957605
114,-44.516752267008876,-8.244056952141962,Stredair Appuah,"FW,MF",Nantes,2023,Ligue 1,-36.272695314866915
115,-32.494774482856506,-4.192167561210311,Mauro Arambarri,MF,Getafe,2023,La Liga,-28.302606921646195
116,-31.64843715526589,-5.6740240476621215,Jon Aramburu,DF,Real Sociedad,2023,La Liga,-25.974413107603766
117,4.5532015524351,-1.6547633950354141,Julian Araujo,DF,Las Palmas,2023,La Liga,6.207964947470514
118,21.485206885780688,-1.316479042974484,Ronald Araújo,DF,Barcelona,2023,La Liga,22.801685928755173
119,-26.18683163180795,-7.487549408133583,Oliver Arblaster,MF,Sheffield Utd,2023,Premier League,-18.699282223674366
120,-7.330720686330081,2.69702994992192,Cameron Archer,"FW,MF",Sheffield Utd,2023,Premier League,-10.027750636252001
121,-52.655498613828016,-10.03733432043296,Cameron Archer,MF,Aston Villa,2023,Premier League,-42.618164293395054
122,-37.05290462779284,-7.301304580236876,Adu Ares,FW,Athletic Club,2023,La Liga,-29.751600047555964
