,Positive Score,Negative Score,Player,Pos,Squad,Season,Comp,PlayerScore
9956,1.9993527030021536,4.594311594996483,Jeffrey Schlupp,MF,Crystal Palace,2020,Premier League,-2.594958891994329
9957,38.45440551295321,-0.031390507660347094,Jonathan Schmid,"MF,DF",Freiburg,2020,Bundesliga,38.485796020613556
9958,-4.38298622451435,1.8146399083415543,Romano Schmid,"MF,FW",Werder Bremen,2020,Bundesliga,-6.197626132855905
9959,-29.9766299674701,-8.83437986547577,Benno Schmitz,DF,Köln,2020,Bundesliga,-21.14225010199433
9960,34.256147680670956,8.879679497099321,Morgan Schneiderlin,MF,Nice,2020,Ligue 1,25.376468183571635
9961,-20.9091491279897,-1.0024396555873811,Alessandro Schöpf,"FW,MF",Schalke 04,2020,Bundesliga,-19.90670947240232
9962,42.56988283578037,17.968278682419694,Jerdy Schouten,MF,Bologna,2020,Serie A,24.601604153360675
9963,-21.514378609781634,0.8231013162343329,Nico Schulz,DF,Dortmund,2020,Bundesliga,-22.337479926015966
9964,-41.05834759827705,-10.292150034212096,Christopher Scott,"MF,FW",Bayern Munich,2020,Bundesliga,-30.766197564064957
9965,-35.502528810461015,-5.527189503626954,Matteo Scozzarella,MF,Parma,2020,Serie A,-29.975339306834062
9966,-28.580396489070875,-8.448474033023402,Jacopo Segre,MF,Torino,2020,Serie A,-20.131922456047473
9967,-28.296137019009578,3.9006451036920025,Davie Selke,FW,Werder Bremen,2020,Bundesliga,-32.19678212270158
9968,-41.72610539110846,-6.6415288228972535,Malik Sellouki,"FW,MF",Nice,2020,Ligue 1,-35.084576568211205
9969,70.86946272231079,16.850067320375604,Nélson Semedo,"DF,MF",Wolves,2020,Premier League,54.019395401935185
9970,5.82746737133921,-5.99904616881684,Léo Sena,MF,Spezia,2020,Serie A,11.82651354015605
9971,-12.122281036981853,-2.6097628234129244,Stefano Sensi,MF,Inter,2020,Serie A,-9.512518213568928
9972,18.06430096668798,6.646535531415359,Jaime Seoane,MF,Huesca,2020,La Liga,11.41776543527262
9973,14.81352138315381,9.085037506259006,Suat Serdar,MF,Schalke 04,2020,Bundesliga,5.7284838768948045
9974,-15.430470854460799,-4.626112133866193,Jean Seri,MF,Bordeaux,2020,Ligue 1,-10.804358720594607
9975,20.8658258180542,3.8198980806650105,Ryan Sessegnon,"DF,FW",Hoffenheim,2020,Bundesliga,17.045927737389192
9976,-29.84941651875122,-7.469463220556288,Nils Seufert,"MF,FW",Arminia,2020,Bundesliga,-22.37995329819493
9977,-51.80593997098772,-10.517971963378862,Edgar Sevikyan,MF,Levante,2020,La Liga,-41.28796800760886
9978,-17.434789898508654,-4.5856158389760715,Stephan El Shaarawy,"MF,FW",Roma,2020,Serie A,-12.849174059532583
9979,-27.337226013748086,-8.885722601418797,Jamie Shackleton,"MF,DF",Leeds United,2020,Premier League,-18.451503412329288
9980,-15.232342146270849,-5.646652330408665,Xherdan Shaqiri,"MF,FW",Liverpool,2020,Premier League,-9.585689815862183
9981,-30.524801311772595,-0.30865504769060004,Billy Sharp,FW,Sheffield Utd,2020,Premier League,-30.216146264081996
9982,78.56178872557804,10.800396030748425,Luke Shaw,DF,Manchester Utd,2020,Premier League,67.76139269482961
9983,38.18786612298123,-0.052934217814864855,Jonjo Shelvey,MF,Newcastle Utd,2020,Premier League,38.24080034079609
9984,6.176118866605461,9.826567062810838,Eldor Shomurodov,FW,Genoa,2020,Serie A,-3.650448196205377
9985,-44.96030553047844,-10.381030850859478,Shola Shoretire,FW,Manchester Utd,2020,Premier League,-34.57927467961896
9986,-37.845459862050674,-10.39021651136889,Mahame Siby,MF,Strasbourg,2020,Ligue 1,-27.455243350681783
9987,-67.23905109242277,-9.870012929063671,Abdoulaye Sidibé,MF,Saint-Étienne,2020,Ligue 1,-57.3690381633591
9988,46.51650673816521,3.5075522667776853,Djibril Sidibé,DF,Monaco,2020,Ligue 1,43.008954471387526
9989,-19.93565669527403,-5.896850522760511,Sidnei,DF,Betis,2020,La Liga,-14.03880617251352
9990,-32.07260019933876,-3.385265551441014,Kaj Sierhuis,"FW,MF",Reims,2020,Ligue 1,-28.687334647897742
9991,-43.80628938176888,-10.474757365131259,Tim Siersleben,DF,Wolfsburg,2020,Bundesliga,-33.33153201663762
9992,30.87707422150148,2.8794980736420266,Gylfi Sigurðsson,"MF,FW",Everton,2020,Premier League,27.997576147859455
9993,-33.60191205074045,-9.921717997579881,Luca Siligardi,"MF,FW",Crotone,2020,Serie A,-23.68019405316057
9994,-43.122436686527784,-10.05884494868401,Luca Siligardi,"FW,MF",Parma,2020,Serie A,-33.06359173784377
9995,17.827230119787913,14.330010093967013,Adrien Silva,MF,Sampdoria,2020,Serie A,3.4972200258208996
9996,60.573973006437875,13.338603043811244,André Silva,FW,Eint Frankfurt,2020,Bundesliga,47.235369962626635
9997,53.42424293165794,4.038246972648874,Bernardo Silva,"MF,FW",Manchester City,2020,Premier League,49.385995959009065
9998,44.32301055624585,-1.70346932875673,Caio Henrique Oliveira Silva,DF,Monaco,2020,Ligue 1,46.02647988500258
9999,26.098014146792025,4.146751717335271,David Silva,MF,Real Sociedad,2020,La Liga,21.951262429456754
10000,-13.10125198027989,4.971004392188674,Fábio Silva,FW,Wolves,2020,Premier League,-18.072256372468566
10001,-30.797571512542515,-4.647862191772082,Gabriel Silva,DF,Saint-Étienne,2020,Ligue 1,-26.149709320770434
10002,-25.437809947113127,-1.754461499086374,Gastón Silva,DF,Huesca,2020,La Liga,-23.683348448026752
10003,43.250757009086364,3.815618533951767,Thiago Silva,DF,Chelsea,2020,Premier League,39.43513847513459
10004,11.255728096383121,0.11151168971962089,Mohamed Simakan,DF,Strasbourg,2020,Ligue 1,11.144216406663501
10005,-4.259239738928478,6.182807150690986,Giovanni Simeone,FW,Cagliari,2020,Serie A,-10.442046889619466
10006,32.43774043778282,8.587984194020299,Moses Simon,"FW,MF",Nantes,2020,Ligue 1,23.84975624376252
10007,-41.648088909557394,-10.153646888563724,Jóan Símun Edmundsson,"FW,MF",Arminia,2020,Bundesliga,-31.49444202099367
10008,25.311533282438734,9.801022687341518,Wilfried Singo,DF,Torino,2020,Serie A,15.510510595097216
10009,20.614146794695895,0.46003071756161507,Daley Sinkgraven,DF,Leverkusen,2020,Bundesliga,20.15411607713428
10010,46.35859651107126,1.6107194304401893,Dimitris Siovas,DF,Huesca,2020,La Liga,44.74787708063107
10011,-24.426794612232403,-7.038201626742836,Issouf Sissokho,"MF,DF",Bordeaux,2020,Ligue 1,-17.388592985489566
10012,27.22535540344856,8.226080341662293,Ibrahima Sissoko,MF,Strasbourg,2020,Ligue 1,18.999275061786268
10013,-0.959703485048839,-2.129911570368977,Moussa Sissoko,MF,Tottenham,2020,Premier League,1.1702080853201378
10014,-30.65054516572876,-1.6719474683230366,Nelson Sissoko,DF,Saint-Étienne,2020,Ligue 1,-28.978597697405725
10015,-42.64081738763197,-9.411729336435105,Jacques Siwe,FW,Dijon,2020,Ligue 1,-33.22908805119687
10016,54.10061613649801,6.107300885507079,Ellyes Skhiri,MF,Köln,2020,Bundesliga,47.99331525099093
10017,0.08452725560547486,-1.633567373310398,Andreas Skov Olsen,"FW,DF",Bologna,2020,Serie A,1.7180946289158727
10018,-7.728382795931688,4.741404209669779,Robert Skov,"FW,MF",Hoffenheim,2020,Bundesliga,-12.469787005601468
10019,58.41512524959847,-0.4110797364505657,Milan Škriniar,DF,Inter,2020,Serie A,58.826204986049035
10020,-34.357880225865955,-3.5034217711702267,Steven Skrzybski,"FW,DF",Schalke 04,2020,Bundesliga,-30.854458454695727
10021,-37.86654768741752,-5.73332010273417,Petar Škuletić,"FW,MF",Montpellier,2020,Ligue 1,-32.133227584683354
10022,-48.46682675535635,-10.42789410799537,Islam Slimani,FW,Leicester City,2020,Premier League,-38.03893264736098
10023,-22.842099160403453,-0.6221601678408145,Islam Slimani,FW,Lyon,2020,Ligue 1,-22.21993899256264
10024,-34.557673339768016,-9.747483410045225,William Smallbone,MF,Southampton,2020,Premier League,-24.81018992972279
10025,-6.251145464353488,-5.456834074213056,Chris Smalling,DF,Roma,2020,Serie A,-0.7943113901404324
10026,10.496610358504295,-1.488267941663585,Emile Smith Rowe,"MF,FW",Arsenal,2020,Premier League,11.98487830016788
10027,-28.155981064464978,-4.9869009465778715,Robert Snodgrass,"MF,FW",West Brom,2020,Premier League,-23.169080117887106
10028,10.177909119212437,-10.517971963378862,Robert Snodgrass,"FW,MF",West Ham,2020,Premier League,20.6958810825913
10029,-18.686579847287998,-2.899735651589877,Cédric Soares,DF,Arsenal,2020,Premier League,-15.786844195698121
10030,-3.891290253423859,-4.631435222668297,Rafa Soares,DF,Eibar,2020,La Liga,0.740144969244438
10031,-46.62460807948762,-5.757960017670834,Rubén Sobrino,"MF,FW",Valencia,2020,La Liga,-40.86664806181679
10032,-10.19509965396562,1.0735973372468273,Rubén Sobrino,"FW,MF",Cádiz,2020,La Liga,-11.268696991212448
10033,-15.953568906117876,-4.367067744465336,Simon Sohm,MF,Parma,2020,Serie A,-11.58650116165254
10034,-14.110431525855818,-3.5291799027219897,Augusto Solari,MF,Celta Vigo,2020,La Liga,-10.581251623133827
10035,-12.191479888138588,14.093432492982561,Roberto Soldado,FW,Granada,2020,La Liga,-26.28491238112115
10036,70.58366403442199,1.8612636611998583,Carlos Soler,MF,Valencia,2020,La Liga,68.72240037322213
10037,-0.12054194800979356,-3.982410509460535,Son,"DF,MF",Levante,2020,La Liga,3.8618685614507413
10038,-20.745706642245857,-4.963989455838887,Brandon Soppy,DF,Rennes,2020,Ligue 1,-15.781717186406969
10039,75.61021305607451,11.67922428450769,Roberto Soriano,MF,Bologna,2020,Serie A,63.930988771566824
10040,-24.76026765397784,-4.026065497619518,Alberto Soro,"FW,MF",Granada,2020,La Liga,-20.73420215635832
10041,45.68971390216963,0.7407325283283746,Borna Sosa,"DF,FW",Stuttgart,2020,Bundesliga,44.94898137384126
10042,30.609280809625623,12.05409781140847,Florian Sotoca,FW,Lens,2020,Ligue 1,18.555182998217155
10043,0.5731380954108617,-1.3071563315691124,Riccardo Sottil,"FW,MF",Cagliari,2020,Serie A,1.8802944269799742
10044,-52.24257607037179,-10.405965637617923,Cheick Souaré,MF,Marseille,2020,Ligue 1,-41.836610432753865
10045,67.84128768426736,23.03892013862793,Tomáš Souček,MF,West Ham,2020,Premier League,44.80236754563943
10046,-45.500210910692545,-10.474757365131259,Rayan Souici,DF,Saint-Étienne,2020,Ligue 1,-35.025453545561284
10047,-28.569616164452434,-3.6497958779439914,Cebio Soukou,"FW,MF",Arminia,2020,Bundesliga,-24.919820286508443
10048,8.593333332730012,0.7415528866709861,Adama Soumaoro,DF,Bologna,2020,Serie A,7.851780446059026
10049,-35.82956809119942,-10.015405850055513,Adama Soumaoro,DF,Lille,2020,Ligue 1,-25.814162241143904
10050,34.31410676588678,-2.3802410394946416,Boubakary Soumaré,MF,Lille,2020,Ligue 1,36.69434780538142
10051,5.388425502593122,1.8104495342976388,Arnaud Souquet,DF,Montpellier,2020,Ligue 1,3.577975968295483
10052,-58.5154831505499,-10.517971963378862,Ansou Sow,MF,Lens,2020,Ligue 1,-47.997511187171035
10053,31.282928878940943,3.605559490418225,Djibril Sow,MF,Eint Frankfurt,2020,Bundesliga,27.677369388522717
10054,-11.855464818364911,-5.728828037030474,Saidou Sow,DF,Saint-Étienne,2020,Ligue 1,-6.126636781334438
10055,21.992202159555106,-2.445490789293085,Çağlar Söyüncü,DF,Leicester City,2020,Premier League,24.43769294884819
10056,48.61559037295489,5.118605407829831,Leonardo Spinazzola,DF,Roma,2020,Serie A,43.49698496512506
10057,-43.34944194711245,-10.517971963378862,Mattia Sprocati,"MF,FW",Parma,2020,Serie A,-32.83146998373359
10058,39.785797710285095,6.95028326701203,Jerry St. Juste,DF,Mainz 05,2020,Bundesliga,32.83551444327306
10059,19.625552838284705,0.8544538357352953,Benjamin Stambouli,"DF,MF",Schalke 04,2020,Bundesliga,18.77109900254941
10060,-38.37914674277923,-10.31588778223443,Josip Stanišić,DF,Bayern Munich,2020,Bundesliga,-28.063258960544797
10061,34.326883728404724,2.626761587903068,Niklas Stark,"DF,MF",Hertha BSC,2020,Bundesliga,31.700122140501655
10062,14.627182455777849,1.506121748948363,Renato Steffen,"FW,MF",Wolfsburg,2020,Bundesliga,13.121060706829486
10063,10.055894249028833,6.964247032305288,Pascal Stenzel,DF,Stuttgart,2020,Bundesliga,3.091647216723546
10064,-34.606441291557765,-6.676373516652638,Dale Stephens,MF,Burnley,2020,Premier League,-27.930067774905126
10065,7.917701817908722,-0.5058973404459408,Jack Stephens,DF,Southampton,2020,Premier League,8.423599158354662
10066,64.23514479242934,11.540009543109809,Raheem Sterling,FW,Manchester City,2020,Premier League,52.69513524931953
10067,36.72011816598181,6.536379395099552,Enda Stevens,DF,Sheffield Utd,2020,Premier League,30.183738770882258
10068,46.33308911347147,5.1553859495013015,Lars Stindl,"MF,FW",M'Gladbach,2020,Bundesliga,41.17770316397017
10069,-11.258410509681134,-6.457288508308357,Kevin Stöger,"MF,FW",Mainz 05,2020,Bundesliga,-4.801122001372777
10070,40.047619030532275,-3.926044014005458,John Stones,DF,Manchester City,2020,Premier League,43.97366304453773
10071,3.1673668216651003,-1.1377177663811446,Tobias Strobl,MF,Augsburg,2020,Bundesliga,4.305084588046245
10072,10.072022684493996,-0.6577949788592914,Kevin Strootman,MF,Genoa,2020,Serie A,10.729817663353288
10073,-33.213759279792185,-4.1695939832076006,Kevin Strootman,"MF,FW",Marseille,2020,Ligue 1,-29.044165296584584
10074,25.0266503379287,-0.7194669985785096,Pascal Struijk,"DF,MF",Leeds United,2020,Premier League,25.74611733650721
10075,24.25421058217533,0.9508399420834682,Jens Stryger Larsen,DF,Udinese,2020,Serie A,23.30337064009186
10076,-34.294187710772775,-3.2211650783180534,Stefano Sturaro,MF,Hellas Verona,2020,Serie A,-31.073022632454723
10077,-26.96811187548547,-4.23437616017372,Stefano Sturaro,MF,Genoa,2020,Serie A,-22.73373571531175
10078,34.268146303386224,17.253137142845755,Damián Suárez,DF,Getafe,2020,La Liga,17.01500916054047
10079,70.93065273455777,13.121129953350092,Denis Suárez,MF,Celta Vigo,2020,La Liga,57.809522781207676
10080,29.622125977301977,10.446884501581051,Luis Suárez,FW,Atlético Madrid,2020,La Liga,19.175241475720924
10081,-37.37424159617415,-9.276726617849539,Marek Suchý,DF,Augsburg,2020,Bundesliga,-28.09751497832461
10082,26.51466128065638,-4.4578885838369535,Niklas Süle,DF,Bayern Munich,2020,Bundesliga,30.972549864493335
10083,53.26070956771605,2.3596980673199695,Suso,FW,Sevilla,2020,La Liga,50.90101150039608
10084,-33.278854941356116,-6.973298601433177,Bosko Sutalo,DF,Atalanta,2020,Serie A,-26.305556339922937
10085,17.412361282678013,10.814390759307885,Mattias Svanberg,MF,Bologna,2020,Serie A,6.597970523370128
10086,-62.07264099448145,-10.517971963378862,Abdoulaye Sylla,DF,Nantes,2020,Ligue 1,-51.55466903110259
10087,-2.0418713485666573,-0.273454923249545,Issiaga Sylla,"DF,MF",Lens,2020,Ligue 1,-1.7684164253171124
10088,-37.51165826467402,-6.856670143926681,Eddy Sylvestre,"FW,MF",Nice,2020,Ligue 1,-30.654988120747337
10089,-32.04786136906769,0.7978484777213949,Ádám Szalai,FW,Mainz 05,2020,Bundesliga,-32.845709846789084
10090,-39.43426529380861,-9.246532177584381,Frederik Sørensen,DF,Köln,2020,Bundesliga,-30.187733116224226
10091,6.365751622666335,3.2062574108523103,Alexander Sørloth,FW,RB Leipzig,2020,Bundesliga,3.1594942118140246
10092,-24.05702722103582,0.4263519345993729,Tachi,DF,Alavés,2020,La Liga,-24.483379155635195
10093,40.48385310713515,-1.4620679619569716,Jonathan Tah,DF,Leverkusen,2020,Bundesliga,41.945921069092115
10094,-41.13561209144331,-10.240532588981472,Waniss Taibi,MF,Angers,2020,Ligue 1,-30.89507950246184
10095,15.537318701830868,1.3056729166118202,Flavien Tait,"MF,FW",Rennes,2020,Ligue 1,14.231645785219047
10096,20.80646081615408,8.092639242059164,Adrien Tameze,MF,Hellas Verona,2020,Serie A,12.713821574094915
10097,-31.155058327076542,-6.261474203107739,Japhet Tanganga,DF,Tottenham,2020,Premier League,-24.893584123968804
10098,48.33703105104257,11.882318826733938,Renato Tapia,MF,Celta Vigo,2020,La Liga,36.454712224308636
10099,84.03454292316553,7.076658943800919,Edmond Tapsoba,DF,Leverkusen,2020,Bundesliga,76.95788397936461
10100,74.43779175797452,5.973626044701071,Matt Targett,DF,Aston Villa,2020,Premier League,68.46416571327345
10101,38.58854846177674,2.2962333874593455,James Tarkowski,DF,Burnley,2020,Premier League,36.29231507431739
10102,-36.68304198015659,-9.837926259821595,Percy Tau,FW,Brighton,2020,Premier League,-26.845115720334995
10103,-44.357772711600745,-10.217358118378476,Niklas Tauer,"MF,DF",Mainz 05,2020,Bundesliga,-34.14041459322227
10104,-36.134249624010344,-10.107240135350375,Heriberto Tavares,"FW,MF",Brest,2020,Ligue 1,-26.02700948865997
10105,-39.59833942329986,-10.108623012671234,Sidnei Tavares,MF,Leicester City,2020,Premier League,-29.489716410628628
10106,-41.128558884080626,-10.405965637617923,Tomás Tavares,"MF,DF",Alavés,2020,La Liga,-30.7225932464627
10107,36.304526836564726,1.567974280579463,Charlie Taylor,DF,Burnley,2020,Premier League,34.73655255598526
10108,-51.20085579980391,-10.08419757756885,Neil Taylor,DF,Aston Villa,2020,Premier League,-41.11665822223506
10109,-67.52847251338729,-10.471108706242973,Allan Tchaptchet,DF,Southampton,2020,Premier League,-57.05736380714431
10110,-26.111302631400683,-8.852689780563443,Warren Tchimbembé,"MF,FW",Metz,2020,Ligue 1,-17.25861285083724
10111,70.4369018151519,15.80292426399103,Aurélien Tchouaméni,MF,Monaco,2020,Ligue 1,54.63397755116087
10112,-33.79853796059889,-7.628679904602429,Álvaro Tejero,DF,Eibar,2020,La Liga,-26.169858055996464
10113,-18.979705874764356,0.5975406008668148,Nathan Tella,"FW,MF",Southampton,2020,Premier League,-19.57724647563117
10114,-10.392673922199778,-5.489364486497654,Alex Telles,DF,Manchester Utd,2020,Premier League,-4.903309435702124
10115,-28.57176627847588,-4.308023583355557,Andrés Tello,"DF,MF",Benevento,2020,Serie A,-24.263742695120325
10116,7.605549757331624,3.8454810041815475,Cristian Tello,"FW,MF",Betis,2020,La Liga,3.7600687531500765
10117,-32.61609831602134,-8.639938060580102,Lino Tempelmann,MF,Freiburg,2020,Bundesliga,-23.976160255441243
10118,-35.19943401308498,-8.352145010348828,Hidde ter Avest,DF,Udinese,2020,Serie A,-26.847289002736154
10119,36.954486840136745,10.036758986374899,Martin Terrier,"FW,MF",Rennes,2020,Ligue 1,26.917727853761846
10120,29.811080332646892,10.492209172708247,Claudio Terzi,DF,Spezia,2020,Serie A,19.318871159938645
10121,8.797513517960008,0.43039251063662254,Kenny Tete,"DF,MF",Fulham,2020,Premier League,8.367121007323385
10122,-41.339368278532206,-10.517971963378862,Kenny Tete,DF,Lyon,2020,Ligue 1,-30.821396315153343
10123,-19.425929266629115,-0.37768458471485733,Cedric Teuchert,"FW,MF",Union Berlin,2020,Bundesliga,-19.04824468191426
10124,70.66217480464177,12.780787618099769,Florian Thauvin,"FW,MF",Marseille,2020,Ligue 1,57.881387186542
10125,-0.5468475042840276,9.605617081388653,Malick Thiaw,DF,Schalke 04,2020,Bundesliga,-10.15246458567268
10126,-19.87498051150257,-2.0652808493307475,Jan Thielmann,"FW,MF",Köln,2020,Bundesliga,-17.809699662171823
10127,7.105926939100465,1.8799945782907796,Sada Thioub,"FW,MF",Angers,2020,Ligue 1,5.2259323608096855
10128,-10.79314943437954,-2.3173276335497768,Luke Thomas,DF,Leicester City,2020,Premier League,-8.475821800829763
10129,46.53536503653824,8.792616307098285,Romain Thomas,DF,Angers,2020,Ligue 1,37.74274872943995
10130,40.03645162704648,20.74526379202693,Adrien Thomasson,"MF,FW",Strasbourg,2020,Ligue 1,19.291187835019553
10131,-28.47880141567299,-7.702270082597678,Erik Thommy,"MF,DF",Stuttgart,2020,Bundesliga,-20.77653133307531
10132,26.912645521328542,15.088961926739469,Morten Thorsby,MF,Sampdoria,2020,Serie A,11.823683594589074
10133,18.01917296840047,1.1091182750165058,Khéphren Thuram,MF,Nice,2020,Ligue 1,16.910054693383962
10134,34.14640776152481,13.423849102309426,Marcus Thuram,"FW,MF",M'Gladbach,2020,Bundesliga,20.722558659215387
10135,-49.35956925879846,-6.315183613120992,Cheikh Tidiane Sabaly,FW,Metz,2020,Ligue 1,-43.044385645677465
10136,102.85468004826733,9.14252928646303,Youri Tielemans,MF,Leicester City,2020,Premier League,93.7121507618043
10137,42.41549519701996,0.41635447732441655,Kieran Tierney,DF,Arsenal,2020,Premier League,41.99914071969554
10138,-49.61387133173553,-9.960748367928701,Steffen Tigges,"FW,DF",Dortmund,2020,Bundesliga,-39.65312296380683
10139,-47.81821231437027,-4.920659612079245,Guus Til,FW,Freiburg,2020,Bundesliga,-42.89755270229102
10140,-12.984553400498937,5.1393004301076255,David Timor,"MF,DF",Getafe,2020,La Liga,-18.123853830606564
10141,13.749820854506318,-1.6077013998233627,Jean-Clair Todibo,DF,Nice,2020,Ligue 1,15.35752225432968
10142,64.2515103237727,9.795919881527247,Karl Toko Ekambi,FW,Lyon,2020,Ligue 1,54.45559044224546
10143,-3.485177824976148,-0.5817271965792395,Corentin Tolisso,MF,Bayern Munich,2020,Bundesliga,-2.9034506283969086
10144,6.765760991428546,-1.8617289673421904,Jeremy Toljan,DF,Sassuolo,2020,Serie A,8.627489958770736
10145,45.938693466972474,7.110005783574021,Rafael Tolói,DF,Atalanta,2020,Serie A,38.828687683398456
10146,49.80103674478445,5.97961282699985,Takehiro Tomiyasu,DF,Bologna,2020,Serie A,43.8214239177846
10147,-33.35641376235334,-7.315616776374393,James Tomkins,DF,Crystal Palace,2020,Premier League,-26.04079698597895
10148,-42.54061209387136,-10.449180235865526,Fikayo Tomori,DF,Chelsea,2020,Premier League,-32.09143185800583
10149,9.939577023025294,-6.099586617379016,Fikayo Tomori,DF,Milan,2020,Serie A,16.03916364040431
10150,2.756251024542949,-0.5381505379752156,Sandro Tonali,MF,Milan,2020,Serie A,3.294401562518164
10151,5.04094818214099,2.1581714138239603,Lorenzo Tonelli,DF,Sampdoria,2020,Serie A,2.8827767683170293
10152,-21.51691228309348,-5.5647705435985975,Toño,"DF,FW",Levante,2020,La Liga,-15.95214173949488
10153,17.390403620860987,-2.9446769632057825,Ömer Toprak,DF,Werder Bremen,2020,Bundesliga,20.33508058406677
10154,-44.35197447397936,-10.449180235865526,Tyron Tormin,"FW,MF",Saint-Étienne,2020,Ligue 1,-33.902794238113835
10155,-33.355505808038835,-6.413369458052018,Ernesto Torregrossa,FW,Sampdoria,2020,Serie A,-26.942136349986818
10156,-19.441450299770587,-5.817531401121623,Lucas Torreira,MF,Atlético Madrid,2020,La Liga,-13.623918898648963
10157,5.160545906643558,0.6662519139843319,Ferrán Torres,"FW,MF",Manchester City,2020,Premier League,4.494293992659227
10158,25.529603005090873,-0.6347674749348311,Óliver Torres,"MF,FW",Sevilla,2020,La Liga,26.164370480025703
10159,59.67281583322071,3.642509096781878,Pau Torres,DF,Villarreal,2020,La Liga,56.03030673643883
10160,16.69621501159794,-1.5949215542850295,Roberto Torres,"MF,FW",Osasuna,2020,La Liga,18.29113656588297
10161,-0.5001349834997546,-0.24497391511074662,Lucas Torró,MF,Osasuna,2020,La Liga,-0.255161068389008
10162,-11.253580323564888,-1.9767600646182117,Jordan Torunarigha,DF,Hertha BSC,2020,Bundesliga,-9.276820258946676
10163,-41.41183764541673,-9.783583732568465,Cenk Tosun,FW,Everton,2020,Premier League,-31.628253912848265
10164,13.650967778210356,2.332288679545887,Abdoulaye Touré,MF,Nantes,2020,Ligue 1,11.31867909866447
10165,-11.888221922814356,-1.6249893834534488,Almamy Touré,DF,Eint Frankfurt,2020,Bundesliga,-10.263232539360907
10166,16.043493441172217,2.1478517166311164,Lucas Tousart,MF,Hertha BSC,2020,Bundesliga,13.8956417245411
10167,44.52219091788548,6.501271865205525,Andros Townsend,"MF,FW",Crystal Palace,2020,Premier League,38.02091905267996
10168,30.358467882255184,6.251106684348276,Conor Townsend,DF,West Brom,2020,Premier League,24.107361197906908
10169,-46.052606981644324,-5.520825172357034,Mattéo Tramoni,"MF,FW",Cagliari,2020,Serie A,-40.53178180928729
10170,61.327134466412446,16.671511532373,Adama Traoré,"FW,MF",Wolves,2020,Premier League,44.65562293403944
10171,-32.15082207168999,-4.310793140032128,Amadou Traore,"FW,MF",Bordeaux,2020,Ligue 1,-27.84002893165786
10172,35.93662655316657,8.451204374920446,Bertrand Traoré,FW,Aston Villa,2020,Premier League,27.485422178246125
10173,-32.219628258139984,-10.22151892545536,Boubacar Traoré,MF,Metz,2020,Ligue 1,-21.998109332684624
10174,-50.49007443837276,-4.771003498561115,Chaka Traorè,"FW,DF",Parma,2020,Serie A,-45.719070939811644
10175,13.701955748455523,4.239191752254017,Charles Traore,DF,Nantes,2020,Ligue 1,9.462763996201506
10176,-45.12801906927977,-10.150454733597979,Cheick Traoré,DF,Lens,2020,Ligue 1,-34.97756433568179
10177,87.82939083606266,5.353842857938286,Hamari Traoré,DF,Rennes,2020,Ligue 1,82.47554797812437
10178,-47.46361713298111,-5.75589600939992,Ibrahima Traoré,"FW,DF",M'Gladbach,2020,Bundesliga,-41.707721123581194
10179,44.154663402551286,-3.0448299415008173,Ismaël Traoré,DF,Angers,2020,Ligue 1,47.1994933440521
10180,27.631649996326054,1.5268289874894485,Miguel Trauco,DF,Saint-Étienne,2020,Ligue 1,26.104821008836606
10181,-4.694878983777277,2.6526927468933517,Trézéguet,FW,Aston Villa,2020,Premier League,-7.347571730670628
10182,56.9434901936526,9.86446311902342,Manu Trigueros,MF,Villarreal,2020,La Liga,47.07902707462918
10183,60.47179403897959,2.937888663095219,Christopher Trimmel,"DF,FW",Union Berlin,2020,Bundesliga,57.53390537588437
10184,-9.463633497685132,-2.2920121296377935,Francisco Trincão,"FW,MF",Barcelona,2020,La Liga,-7.171621368047338
10185,-39.09725853834407,-4.800006448238982,Alessandro Tripaldelli,DF,Cagliari,2020,Serie A,-34.29725209010509
10186,55.594417150897534,0.20423951301777837,Kieran Trippier,DF,Atlético Madrid,2020,La Liga,55.39017763787976
10187,53.39908425865351,8.707564064371775,Leandro Trossard,"MF,FW",Brighton,2020,Premier League,44.691520194281736
10188,-33.77095737738251,-9.018068918877825,Alexis Trouillet,"MF,FW",Nice,2020,Ligue 1,-24.752888458504685
10189,28.205815430339353,1.1414186159551059,Adrien Truffert,"DF,MF",Rennes,2020,Ligue 1,27.064396814384246
10190,-39.910451994142406,-10.341464911500163,Marvin Tshibuabua,DF,Saint-Étienne,2020,Ligue 1,-29.568987082642245
10191,-48.0461390977005,-10.31588778223443,Kostas Tsimikas,"DF,FW",Liverpool,2020,Premier League,-37.73025131546606
10192,-29.912440276617243,-0.5041659446182719,Axel Tuanzebe,DF,Manchester Utd,2020,Premier League,-29.40827433199897
10193,1.397573106209316,2.215314178759294,Alessandro Tuia,DF,Benevento,2020,Serie A,-0.8177410725499779
10194,-37.87024242124398,-10.517971963378862,Ľubomír Tupta,FW,Hellas Verona,2020,Serie A,-27.352270457865117
10195,7.945344891854351,7.3399359655990075,Tuta,DF,Eint Frankfurt,2020,Bundesliga,0.6054089262553433
10196,-35.93142277434497,-7.145914429271912,Destiny Udogie,"DF,MF",Hellas Verona,2020,Serie A,-28.78550834507306
10197,16.97548785101016,5.804017214657208,Matthieu Udol,DF,Metz,2020,Ligue 1,11.171470636352954
10198,-21.497769077222767,-7.965411246193493,Naomichi Ueda,DF,Nîmes,2020,Ligue 1,-13.532357831029273
